path,name,class,stem,group,split
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (1011)_g1298_shear.jpg,image (1011)_g1298_shear.jpg,Grape_spot,image (1011)_g1298_shear,image (1011),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (347)_g874_original.jpg,image (347)_g874_original.jpg,Grape_spot,image (347)_g874_original,image (347),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (265)_g1276_shear.jpg,image (265)_g1276_shear.jpg,Grape_spot,image (265)_g1276_shear,image (265),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (770)_g1106_distortion.jpg,image (770)_g1106_distortion.jpg,Grape_spot,image (770)_g1106_distortion,image (770),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (186)_g1073_flip.jpg,image (186)_g1073_flip.jpg,Grape_spot,image (186)_g1073_flip,image (186),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (209)_g1035_distortion.jpg,image (209)_g1035_distortion.jpg,Grape_spot,image (209)_g1035_distortion,image (209),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (504)_g1342_flip.jpg,image (504)_g1342_flip.jpg,Grape_spot,image (504)_g1342_flip,image (504),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (294)_g475_rotate.jpg,image (294)_g475_rotate.jpg,Grape_spot,image (294)_g475_rotate,image (294),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (1056)_g1102_rotate.jpg,image (1056)_g1102_rotate.jpg,Grape_spot,image (1056)_g1102_rotate,image (1056),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (748)_g805_flip.jpg,image (748)_g805_flip.jpg,Grape_spot,image (748)_g805_flip,image (748),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (707)_g1555_distortion.jpg,image (707)_g1555_distortion.jpg,Grape_spot,image (707)_g1555_distortion,image (707),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (255)_g993_shear.jpg,image (255)_g993_shear.jpg,Grape_spot,image (255)_g993_shear,image (255),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (875)_g946_flip.jpg,image (875)_g946_flip.jpg,Grape_spot,image (875)_g946_flip,image (875),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (342)_g1037_shear.jpg,image (342)_g1037_shear.jpg,Grape_spot,image (342)_g1037_shear,image (342),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (315)_g756_distortion.jpg,image (315)_g756_distortion.jpg,Grape_spot,image (315)_g756_distortion,image (315),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (862)_g1517_shear.jpg,image (862)_g1517_shear.jpg,Grape_spot,image (862)_g1517_shear,image (862),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (169)_g185_rotate.jpg,image (169)_g185_rotate.jpg,Grape_spot,image (169)_g185_rotate,image (169),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (686)_g204_rotate.jpg,image (686)_g204_rotate.jpg,Grape_spot,image (686)_g204_rotate,image (686),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (418)_g1270_flip.jpg,image (418)_g1270_flip.jpg,Grape_spot,image (418)_g1270_flip,image (418),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (866)_g388_shear.jpg,image (866)_g388_shear.jpg,Grape_spot,image (866)_g388_shear,image (866),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (357)_g633_rotate.jpg,image (357)_g633_rotate.jpg,Grape_spot,image (357)_g633_rotate,image (357),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (938)_g44_distortion.jpg,image (938)_g44_distortion.jpg,Grape_spot,image (938)_g44_distortion,image (938),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (433)_g1375_original.jpg,image (433)_g1375_original.jpg,Grape_spot,image (433)_g1375_original,image (433),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (345)_g636_rotate.jpg,image (345)_g636_rotate.jpg,Grape_spot,image (345)_g636_rotate,image (345),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (749)_g1361_rotate.jpg,image (749)_g1361_rotate.jpg,Grape_spot,image (749)_g1361_rotate,image (749),train
/home/andres/leaffliction/augmented_directory/train/Grape_spot/image (194)_g1348_original.jpg,image (194)_g1348_original.jpg,Grape_spot,image (194)_g1348_original,image (194),train
